주유소명,주소
서울주유소,서울특별시 송파구 문정로 153(가락동)
대성주유소,서울특별시 송파구 마천로 230(마천동)
삼화셀프주유소 (셀프),서울특별시 송파구 백제고분로 125(잠실동)
제트라인디엠주유소,서울특별시 송파구 중대로 183(가락동)
잠실셀프주유소 (셀프),서울특별시 송파구 송파대로 397(석촌동)
정직한 주유소 (셀프),서울특별시 송파구 오금로 455(거여동)
방이주유소,서울특별시 송파구 위례성대로12길 38(방이동)
송파주유소 (셀프),서울특별시 송파구 송이로 28(송파동)
가락로주유소 (셀프),서울특별시 송파구 가락로 47(석촌동)
서원주유소,서울특별시 송파구 중대로 154(가락동)
백제고분로주유소 (셀프),서울특별시 송파구 오금로 143(방이동)
남성주유소,서울특별시 송파구 백제고분로 474(방이동)
송파제일주유소 (셀프),서울특별시 송파구 삼학사로 50(석촌동)
퍼스트주유소 (셀프),서울특별시 송파구 삼학사로 22(석촌동)
송파알찬주유소 (셀프),서울특별시 송파구 백제고분로 229(삼전동)
훼미리주유소,서울특별시 송파구 중대로 58(문정동)
우리주유소,서울특별시 송파구 동남로 153(가락동)
(주)유진주유소,서울특별시 송파구 동남로 325(오금동)
남성대주유소(셀프),서울특별시 송파구 송파대로 52(장지동)
완불주유소(셀프),서울특별시 송파구 송파대로 3(장지동)
가든파이브주유소(셀프),서울특별시 송파구 탄천동로 740(장지동)
스마트위례주유소(셀프),서울특별시 송파구 위례중앙로 43(장지동)
위례제일주유소(셀프),서울특별시 송파구 위례서로 260(거여동)
위례드림주유소(셀프),서울특별시 송파구 위례중앙로10(장지동)
세화주유소,서울특별시 중구 왕십리로 403 (신당동)
씨앤에스유통(주) 장충드림주유소,서울특별시 중구 동호로 296 (장충동2가)
약수주유소,서울특별시 중구 다산로 173 (신당동)
신당동주유소,서울특별시 중구 다산로 242 (신당동)
주식회사 타이거통상 다산주유소,서울특별시 중구 다산로 233 (무학동)
서남주유소,서울특별시 중구 통일로 30 (봉래동1가)
필동주유소,서울특별시 중구 퇴계로 196 (필동2가)
지에스칼텍스(주) 직영 역전점,서울특별시 중구 퇴계로 15 (남대문로5가)
현대오일뱅크(주) 직영장원주유소,서울특별시 중구 동호로 203 (신당동)
서울석유(주) 장충주유소,서울특별시 중구 장충단로 202 (장충동1가)
SK에너지 직영 퇴계로주유소,서울특별시 중구 퇴계로 228 (필동2가)
현대오일뱅크㈜직영 재동주유소,서울특별시 종로구 율곡로 58(경운동)
주식회사 대양씨앤씨,서울특별시 종로구 사직로 65(사직동)
주식회사 대양씨앤씨 경복궁주유소,서울특별시 종로구 율곡로 6(중학동)
㈜중앙에너비스 혜화지점,서울특별시 종로구 창경궁로35길 1(혜화동)  
SK북악주유소,서울특별시 종로구 평창문화로137(평창동)    
안풍주유소,서울특별시 종로구 자하문로 303(홍지동) 
자하문주유소,서울특별시 종로구 자하문로 248(부암동)
㈜지에스이앤알 평창주유소,서울특별시 종로구 평창문화로 135(평창동)  
